5	1	2	3	4	5																																																																																																					
3	1	2	2																																																																																																							
91	11	14	27	43	19	11	0	19	26	3	44	16	31	27	34	3	44	11	5	6	13	16	39	3	37	33	7	2	27	32	33	40	10	2	28	3	33	38	44	31	49	48	23	0	24	28	38	14	15	48	14	33	5	33	34	41	37	3	14	14	45	0	28	4	42	17	8	8	10	19	46	40	38	23	24	2	36	33	24	18	27	43	29	24	41	18	33	30	42	4	19															
84	46	50	41	4	14	27	36	17	41	3	21	0	26	18	16	10	23	49	24	4	28	35	7	40	20	23	15	10	47	47	15	13	5	13	1	9	27	0	45	37	11	26	12	47	40	4	47	12	8	35	1	49	38	1	15	18	27	42	46	4	46	6	9	35	37	24	2	16	19	32	10	13	1	4	35	19	45	3	2	7	4	24	14	10																						
75	26	9	8	17	29	42	6	30	48	20	34	7	21	29	34	8	39	31	44	3	39	7	50	49	30	1	5	4	47	37	24	7	36	10	0	34	36	34	1	29	27	49	28	34	13	6	19	32	31	17	8	47	28	11	13	41	37	18	23	6	2	26	28	19	13	49	43	39	24	36	20	44	28	19	3																															
21	2	19	19	30	1	35	21	0	1	37	30	29	17	38	38	18	25	48	5	8	0																																																																																					
63	23	11	10	12	20	42	28	14	22	2	3	41	7	22	42	13	37	23	28	40	6	44	24	8	15	30	21	0	7	33	42	45	8	6	3	26	12	15	22	7	0	44	28	34	31	23	29	46	22	10	33	33	19	33	18	23	32	12	22	24	15	7	38																																											
76	4	16	49	28	25	45	21	4	35	8	13	7	45	27	7	28	24	6	24	9	34	40	32	11	21	38	11	9	27	25	22	46	25	6	27	24	46	43	35	13	28	27	37	5	27	27	30	39	35	21	5	34	31	14	12	5	48	48	50	12	22	38	9	48	5	33	13	48	2	46	14	13	40	13	16	12																														
63	25	34	33	5	19	22	46	25	24	35	21	0	11	1	28	3	46	2	7	38	28	30	48	34	27	24	4	30	32	39	40	43	14	48	12	19	32	14	4	13	25	34	8	4	0	31	0	41	22	5	44	42	42	5	45	15	31	23	39	36	13	36	3																																											
60	3	33	36	25	44	37	15	14	13	26	29	49	40	5	3	47	45	49	2	28	40	13	8	44	40	9	19	20	47	26	7	39	30	49	21	9	44	22	32	27	39	7	34	18	36	30	35	36	30	12	30	28	2	24	47	6	15	5	48	28																																														
26	10	28	21	44	50	46	25	49	23	46	31	47	29	34	34	20	48	32	27	32	1	24	49	27	17	23																																																																																
69	11	0	32	26	23	0	25	12	1	20	17	13	6	34	41	7	18	3	27	4	35	29	13	18	22	43	31	11	2	25	43	26	37	9	13	11	6	48	14	16	20	39	46	31	44	2	41	1	41	43	21	32	25	29	20	41	1	44	28	42	47	4	37	5	42	24	35	13	12																																					
47	24	28	7	47	17	23	11	20	37	31	10	45	34	38	22	2	45	31	13	38	22	2	2	31	36	23	40	23	33	50	38	50	46	44	36	38	40	48	5	40	11	40	15	38	27	26	45																																																											
100	18	4	28	22	18	11	40	4	12	1	24	20	12	26	17	13	45	35	39	22	43	5	32	19	28	15	12	47	20	18	15	42	7	10	4	38	0	25	16	30	37	47	21	45	48	18	8	3	43	9	34	33	10	1	9	5	18	50	6	8	22	24	9	16	16	30	11	13	9	2	38	44	21	31	23	23	49	21	3	46	4	49	39	43	34	42	50	26	36	32	21	40	36	36	22	2	24	50	50	43						
64	10	7	10	19	47	19	35	3	30	43	49	48	17	13	23	45	43	18	37	27	26	12	24	26	15	46	20	15	9	36	50	15	36	29	30	38	24	39	6	14	49	22	36	28	35	0	38	10	50	33	1	38	3	19	47	49	16	16	19	6	44	13	49	45																																										
76	13	35	20	32	13	36	37	34	37	13	46	19	2	50	36	10	43	36	22	10	1	28	42	23	6	13	26	28	28	47	3	7	32	7	35	11	29	13	19	16	27	15	28	32	17	27	45	20	22	37	26	27	3	25	19	7	17	11	46	50	46	43	34	10	28	13	18	32	44	22	6	10	41	34	3	21																														
77	25	32	0	36	12	9	13	46	15	35	19	12	4	0	32	30	6	25	9	18	4	26	21	33	19	8	39	37	22	3	32	40	0	49	48	28	39	10	17	22	41	23	41	48	47	40	21	20	45	1	41	40	27	37	0	44	31	29	41	29	44	41	35	37	28	35	9	27	24	48	46	25	46	23	2	0	36																													
54	30	32	5	9	36	14	12	17	23	43	20	25	15	15	25	47	3	40	42	28	44	50	45	22	50	34	8	47	0	4	21	28	23	6	14	29	49	5	29	24	3	4	22	40	6	48	44	40	42	31	26	22	33	28																																																				
71	24	26	4	23	47	22	25	7	46	17	48	27	1	13	1	29	1	20	13	9	9	34	45	35	7	8	37	29	30	17	12	47	3	0	13	29	17	13	17	11	6	47	5	15	18	0	6	49	24	6	6	9	50	16	16	14	38	12	36	31	44	37	16	10	23	16	12	33	35	3	44																																			
49	27	14	16	35	36	14	21	50	19	43	24	36	1	37	2	29	14	35	13	13	11	19	21	43	11	23	18	22	22	40	48	3	31	46	10	47	9	15	43	16	44	39	38	30	45	32	7	45	48																																																									
85	35	33	8	46	1	37	17	20	27	32	34	20	46	38	18	41	5	15	18	6	36	19	27	34	29	25	16	50	36	41	3	4	38	32	37	36	19	28	7	17	0	2	7	47	17	43	38	11	10	29	3	4	26	43	1	37	44	43	47	8	15	0	3	30	8	24	44	10	9	14	21	46	25	31	9	14	9	27	47	21	28	4	11	29	26																					
87	39	25	47	13	38	5	16	1	48	25	5	9	4	13	48	16	41	41	47	29	24	21	0	38	28	15	41	15	49	21	7	5	40	35	17	23	25	12	32	47	17	19	30	34	49	43	46	41	43	2	38	50	15	25	26	17	24	47	49	41	11	5	38	6	46	25	15	43	26	35	49	43	41	18	35	39	41	29	20	18	9	40	20	0	4	19	11																			
14	25	31	7	15	48	21	19	24	30	34	6	33	9	39																																																																																												
80	13	16	10	25	7	6	26	15	8	35	37	49	5	49	2	41	45	0	5	24	20	43	4	13	36	12	4	18	33	4	11	32	48	28	0	42	9	22	22	38	46	28	41	6	45	17	27	7	46	2	19	16	28	13	36	10	14	28	1	46	48	48	39	37	6	50	37	29	23	17	1	28	14	17	17	3	33	21	8	29																										
29	20	35	49	18	22	4	12	26	6	19	41	9	40	4	26	35	43	25	30	30	33	17	13	48	30	40	8	49	16																																																																													
80	42	3	46	18	34	48	6	20	5	28	10	17	15	34	24	36	19	47	23	37	50	42	0	15	2	16	35	19	6	32	43	6	39	50	15	23	25	16	34	28	11	48	22	21	7	24	12	44	47	25	50	15	37	4	30	11	21	26	17	6	10	50	0	8	20	10	15	50	3	28	2	17	46	8	28	1	15	40	40	48																										
34	26	36	23	47	28	26	20	30	30	39	17	23	32	48	34	47	29	49	48	20	31	44	16	47	6	26	7	13	26	1	16	29	6	44																																																																								
21	23	2	47	5	50	40	11	17	37	50	1	24	14	23	48	16	1	18	27	20	38																																																																																					
25	29	4	47	7	5	13	25	41	6	48	2	1	44	30	40	14	1	31	19	28	6	37	32	24	28																																																																																	
24	32	41	46	14	4	36	26	37	43	45	1	42	29	17	2	20	3	17	28	14	23	27	42	33																																																																																		
76	30	45	21	16	44	21	38	48	42	37	4	20	16	42	32	29	15	43	34	10	39	13	7	13	15	28	25	34	26	40	9	15	50	38	4	31	16	21	45	6	37	18	20	49	42	26	31	15	25	23	34	34	22	26	42	14	49	36	35	39	26	48	30	33	21	27	11	9	16	15	2	3	23	20	40	25																														
86	23	6	16	50	49	22	8	39	41	20	27	47	39	16	15	15	28	38	9	45	50	27	39	14	37	43	20	29	32	15	24	41	26	19	31	35	25	1	14	24	50	12	23	6	38	26	38	13	40	8	42	7	10	43	43	35	13	23	6	10	29	20	27	22	31	47	10	8	49	3	27	3	5	7	31	30	20	37	6	42	43	15	20	7	8	18																				
15	24	13	45	34	33	36	12	29	0	2	44	50	12	34	39																																																																																											
84	40	17	33	29	50	22	26	39	41	9	2	6	20	22	22	0	47	26	11	45	29	32	5	33	18	13	12	46	1	28	36	30	0	31	29	49	0	35	10	20	32	0	41	3	31	48	26	13	41	22	15	18	10	32	21	26	38	5	41	49	28	19	20	40	29	27	27	20	0	15	27	40	6	23	3	11	49	37	49	48	46	30	31	26																						
17	38	6	12	48	37	3	1	47	28	34	11	42	30	28	12	21	34																																																																																									
41	39	33	0	23	41	38	49	19	31	35	30	36	2	2	49	41	14	49	9	22	18	7	41	47	43	24	44	27	0	8	27	6	17	40	43	29	11	18	21	45	33																																																																	
23	36	4	35	35	41	42	32	21	50	28	18	12	28	4	14	19	43	23	12	35	15	9	42																																																																																			
100	48	21	30	10	5	12	30	32	25	48	25	9	40	49	42	48	33	47	39	19	28	39	35	11	12	6	50	23	44	6	36	0	9	43	37	23	38	45	32	26	3	40	32	17	40	4	9	41	29	33	9	1	1	31	2	8	10	47	3	21	29	0	24	38	37	39	22	33	5	31	0	44	30	27	48	13	31	30	2	32	47	26	28	31	25	9	46	26	37	40	29	46	37	22	19	38	25	37	45	21						
18	33	33	24	28	49	46	6	33	42	20	27	41	1	21	46	42	26	31																																																																																								
51	31	35	25	42	35	15	26	0	14	5	46	2	36	30	50	46	20	36	36	40	42	30	16	33	3	49	1	34	6	12	14	40	8	19	37	1	28	12	4	49	10	33	36	23	28	44	15	9	41	25	4																																																							
14	29	23	25	48	30	50	25	27	31	48	1	10	35	9																																																																																												
68	37	48	10	10	18	15	46	10	43	49	26	0	43	48	28	20	14	7	41	2	17	12	5	1	21	19	20	38	2	48	28	30	6	49	17	11	18	34	19	16	3	42	34	40	31	25	46	2	21	7	20	10	1	8	46	3	18	26	46	8	33	9	12	6	15	35	44	32																																						
